PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
NAWWA KOPI,,,,,,,
,https://www.google.com/maps/search/NAWWA KOPI jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,8 bulan lalu,Emma Millania Kartini,Local Guide,47 ulasan,"Oke ini dia Kopi Soe (Satoe Noesa SaToe Rasa) kalau ga salah hahah.. jadi ini salah satu tmpt yang menurutku lumayan cocok buat kalian nongki sendiri atau sama temen buat ngerjain tugas. Perlu diketahui, utk lokasi dia dekat kampus UGM UNY sih ya bisa dibilang sebrang UNY juga. Tmptnya pinggir jalan cmn emg masuk dalem ruko"" aja, parkir luas (kayaknya ga ada tukang parkir jg). Trs dr info maps 24 jam, kalau utk tempat sebenernya juga ga besar"" amat. Ada 2 lantai. Tp trakhir aku mengunjungi di bawah cmn ada 2 meja, baru di atas sekitar 5 meja kecil indoor jg AC. Di luar mungkin 2 meja. Colokan/ stop kontak ada aman, tapi ya karena emg tmptnya ga begitu luas. Jadi kalau rame"" ya agak sempit. Paling pas buat 2-4 org an aja si biar ga desek""an amat dan berbagi sama pengunjung lain. Suasanya cukup sepi pas mau malem"" bgt, ada musik yg diputer kakaknya sih mayan lah, meski di atas ga begitu keras suaranya. Sama naik turun tangganya agak brisik wkwkw trs kamar mandi bersih si mayan di lantai atas. Aksesibilitas kursi roda emg kurang. Naiknya tangga buat masuk. Next utk menu nya aku uda foto kalian cek aja. Harganya ya mayan si standar aja, full minuman. Makanan cmn berupa si cemilan kayak croffle gitu variannya ga gitu banyak. Tapi mayan enak si meski mungkin kalian bs pikir ulang kalau mau beli dua karena harganya wkk. Atau mungkin kalau boleh bawa makanan dr luar aja ehehe. Seenggaknya kalian beli minuman buat menikmati tempat itu. Aku bilang si standarnya 25 rb ke atas. Tapi ada yang harganya 18 ribu an kek teh terik apanya. Tjemilannya jg kisaran 20 rb an ke atas. Tp isoke. Rasa kopi dll mayan enak sih mnrutku. Jd aman ga akan ngecewain. Ada free wifi juga dari kertas notanya kalian bs lihat si password. So, menurutku ini salah satu tmpt yg rekomen buat kalian yg butuh suasana sepi buat ngerjain, dan deket kampus kota. Meski utk makanan ga bgitu banyak pilihannya tapi minuman banyak variasinya. Let's check this place guys. Enjoy.",4
,,6 bulan lalu,Resty (ChkinN),Local Guide,71 ulasan,"Tempatnya cukup kecil, interiornya simpel minimalis dan modern. Kebanyakan tempatnya ada di outdoor. Di indoor cuma beberapa kursi/meja.  Minumannya enak, cukup menarik seperti matcha latte yg diganti soy milk. Cappuchino, kopi hitam, dan teh buatannya juga cukup nikmat. Pelayanannya cukup baik. Mungkin perlu ditingkatkan respon cepat dan tanggapnya dan pembagian peran kerjanya. Tempat ini cocok untuk nongki.",4
,,3 minggu lalu,M-C. Camille,Local Guide,47 ulasan,"Rasa black coffee nya pas, tadi saya mencoba croffle plain juga, enak ternyata.
Unung mereka buka 24/24, jam 7:15 saya bisa dapat black coffee sambil menunggu anak saya lagi main sepak bola di UNY👍👍",5
,,2 bulan lalu,Fadilla Mutiara Rizqi _FT,-,1 ulasan,"Coffe shop jogja yang buka 24 jam kalo malem malem bingung mau ngopi dan nongkrong dimana karna kebanyakan cafe di jogja udah close order dibawah jam 12 jadi pasti kesini mana kopinya enak, tempatnya nyaman buat nugas, ada wifi yg kenceng lagi.",5
,,6 bulan lalu,Budi Wijayarto,Local Guide,621 ulasan,"Benar² buka 24 jam !
Pagi² nyari kopi yang enak agak sulit. Untung ada kopi Soe. Kopinya beneran enak.
Tempat agak sembunyi di seberang GOR UNY. Samping Bakpia Tugu.",4
,,2 bulan lalu,Aida Rachmawati,-,21 ulasan,"Nawwa classicnya enak banget, tempatnya juga ademm deket ugm dan uny, cocok buat nugas malem2 hehe",5
,,2 bulan lalu,Shella Septia,-,4 ulasan,Pelayanannya sangat baikkk dan buka 24 jam jadi recomended bgt buat mahasiswa 😍✨,5
,,2 minggu lalu,Rahma Fauzia Husna,Local Guide,11 ulasan,"Kopinya cocok untuk yang nggak terlalu suka manis karena kopi disini lumayan strong. Croffle-nya juga enak, empuk dan lembut, ditambah cocolan choco crunchy. Tempatnya terbilang kecil, tapi cukup untuk ngopi sebentar.",4
