PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Point Coffee,,,,,,,
,https://www.google.com/maps/place/Point+Coffee/data=!4m7!3m6!1s0x2e7a59c97d92d845:0x70a3f559bc7172d1!8m2!3d-7.7775759!4d110.3846784!16s%2Fg%2F11hczzh9tw!19sChIJRdiSfclZei4R0XJxvFn1o3A?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 hari lalu,Hayu Handayani,Local Guide,27 ulasan,"Terakhir beli matcha frappe di point coffee pandega normal sugar normal ice enak pas bgt kerasa matcha nya. Beli di point coffee yang colombo ini PARAH kualitasnya, terlalu manis sampe pait, matcha nya gak kerasa dan whipped cream nya basi ya ampun udah asem minimal dicek dong kak sblm jualan 😭

Tolong juga baristanya buat lebih ramah sama konsumen. Kalian tu butuh konsumen lho 😭",2
,,setahun lalu,Nugraha Gunamanta,Local Guide,125 ulasan,"Tempatnya lumayan, asik dipake minum kopi sambil ngobrol santai atau hanya killing time. Harga bersahabat",5
,,5 bulan lalu,Shyntia Tan,Local Guide,252 ulasan,"suka beli ke point coffee pas hari senin selalu promo, dolce latte dan es losreng ena banget, favorit~ yang lain rasanya biasa aja menurutku",5
,,2 bulan lalu,Hiro Hito,-,1 ulasan,"Minimal kasih tempat duduk bos, kasihan driver kalo  dapet orderan nunggu lama sambil  berdiri....",4
,,sebulan lalu,Ario PS,Local Guide,66 ulasan,"Tempat nongkrong sedikit yg didalam, kalau diluar panas banget,, kalau rame nunggunya jadi berdiri lama",3
,,4 tahun lalu,Pradita Luky,Local Guide,145 ulasan,Tempat nya gabung dengan indomaret. Lokasinya sebelah ATM dan penjualnya sering teriak-teriak.,3
,,setahun lalu,Marendra Febrianas,Local Guide,36 ulasan,"tempat enak buat nongkrong/ habisin waktu, apa aja ada disini dari cemilan, snack, minuman botol, kopi, makanan beratpun ada tinggal pilih aja sesukamu.",5
,,7 bulan lalu,Sabella,Local Guide,132 ulasan,"baru kali ini pesan Dolce Latte gaenak di point. biasanya beli dolce tuh kental karena skm, gula & fresh milk + espresso. ini skm pake bendera, trs entah dikasi apa lagi, terasa encer 😵 …",1
,,5 tahun lalu,Muchamad Fikri Iman,Local Guide,179 ulasan,"Kadang-kadang suka beli kopi disini (paling sering pesan Avocadofee). Untuk pilihan menu sebenarnya tidak hanya menyediakan berbagai macam olahan kopi (ekspresso, cappucino, moccacino, dan lainnya) tetapi ada coklat dan beberapa jenis minuman rasa buah. Untuk tempat sendiri berada didalam Indomaret Point Colombo. Tempatnya nyaman banyak kursi yang disediakan untuk para pengunjung, baik yang memesan minuman atau pengunjung Indomaret Poin. Biasanya banyak sekali pengunjung disini melakukan berbagai macam kegiatan. Tempatnya bisa dibilang sangat nyaman untuk berkumpul dengan teman. Tempat parkir untuk roda dua cukup luas, namun untuk roda empat cukup sulit untuk parkir. Untuk rasanya lumayan enak, dan kita pun tidak perlu lama menunggu pesanan. Pelayanannya sangat ramah dan cukup cepat. Untuk harga, masuk kategori sedang menuju lumayan mahal. Tapi sering ada promo dari Tcash yang meberikan potongan 50%. Pihak internalnya pun sering memberikan promo. Tempat ini buka 24 jam, jadi yang ingin kopi subuh-subuh bisa coba disini.",4
,,5 bulan lalu,Faustina Dian Cahyaningrum,Local Guide,16 ulasan,"Pelayanan sangat lama, antri hampir 1 jam bukan hanya karena ramai saja tetapi pelayan kurang cepat dalam membuat minuman",1
