PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Secret Garden Coffee and Chocolate,,,,,,,
,https://www.google.com/maps/search/Secret Garden Coffee and Chocolate,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 bulan lalu,Aditia Noor Fajar Dewantara,Local Guide,61 ulasan,Tempatnya bagus terletak belakang sma teladan gak jauh dari pusat kota. Sangat cocok untuk kumpul anak muda maupun kumpul keluarga. Oh kayaknya juga biasa buat acara nikahan. Suanya daper. Meskipun tengah kota tapi tetap terkesan rindang karena banyak pohon hijau dan ada airmancur. Cocok untuk anak juga biasa bermain main. Kurang kasih wahana untuk anak sih ayunan atau apa biar anak betah gak lari2 l. Hehe. Malam hari juga oke. Menu lumayan lengkap. Enak. Harga juga masih terjangkau. Mantap pokoknya. Kebersihan bersih dan terta rapi bikin nyaman dan betah. Parkiran luas motor mobil biaa masuk.,5
,,4 bulan lalu,Putut Prianggono,Local Guide,170 ulasan,"Tempat makan santai dan nyaman outdoor ataupun indoor
Luas tempat pilihan duduk dan parkiran
Harga menengah
Masakan baik
Suasana dan penataan bagus
Bisa untuk acara ultah ataupun lainnya
Sudah beberapa kali kesin dan tetap bagus",5
,,3 bulan lalu,caroline Novel,-,21 ulasan,"Restoran andalan keluarga untuk event apapun dari ultah, pernikahan, peringatan kematian atau cuma sekadar kongkow.

Restoran ini menyediakan menu masakan Indonesia dan internasional. Rasanya lumayan. Harga sangat miring.

Di sini ada tempat duduk indoor maupun outdoor. Tempatnya bagus buat foto foto juga. Tapi paling ok menejernya yaaa Kak Diaz yang manjahh..",5
,,8 bulan lalu,Budi Wijayarto,Local Guide,620 ulasan,"Suasana sangat menyenangkan dengan banyak spot yang Instagram able.
Harga makanan dan minuman normal.
Poin plus nya adalah pelayanan sangat ramah dan sigap. Karyawan sangat ramah dan helpful.
Oiya, di sini juga melayani acara wedding, casual dinner atau sekadar kumpul kumpul untuk rapat/meeting.",5
,,4 bulan lalu,Kumala Sari,Local Guide,124 ulasan,"... tempat makan dan nongkrong yang nyaman, luas dan alam terbuka
... pilihan menu banyak makanan dan minuman, rasa biasa saja
... pelayanan ramah dan cepat
... parkir luas
... ada mushola yang luas, kmr mandi juga bersih",4
,,sebulan lalu,Dita Partowihardjo,Local Guide,30 ulasan,"Tdk sempat memphoto menu yg saya pesan. Tetapi makanan cukup enak. Tempatnya romantis, luas. Tdk kesulitan jg utk lahan parkir.

Tempat ini bs d pesan utk wedding dan acara acara juga.
Sangat nyaman, bersih, dan rapi.

Kekurangan nya, sedikit pricey but it's okay, dan banyak genangan, ( mungkin krn hbs hujan deras ) 🙂",5
