PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Susu Sarjana UNY,,,,,,,
,https://www.google.com/maps/search/Susu Sarjana UNY jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 bulan lalu,hafizah fikriah waskan,Local Guide,169 ulasan,"Harganya murah rasanya ok. Banyak pilihan rasa yang bisa dipilih, cuma emang manis banget aja. Buat yang lagi pengen manis manis gitu emang cocok banget minum ini. Parkirnya gratis juga, cuma ada beberapa kali dimintain nomor hp entah buat apa. Soalnya masih dikasih struk juga, kalau alasannya mau dikirimin struk pembelian.",5
,,3 tahun lalu,Emy Prihartiningsih,Local Guide,44 ulasan,"Minuman sehat dan berGizi...
Rasanya benar2 segar.. Karena ditambah dgn buah asli. Yg tidak suka susu jadi ketagihan minum susu. Harganya tidak mahal utk satu cup besar susu rasa buah2an yg menyegarkan. Bisa pesan Gofood kok misal gak ada waktu keluar..",5
,,4 tahun lalu,Azizah Hasna' Arifin,Local Guide,376 ulasan,"Rasanya enak. Harga sebanding dengan isinya. Yang oreo rasanya juara.
Ada kursi tunggu huat pengunjungnya, dan yang pasti ada garansi kekecewwaannya. Jadi ga takut tu kalo susu nya basi bisa di kembaliin/minta ganti 👌
Oiya jangan lupa follow IG nya susu sarjana. Bakal banyak giveaway disana. …",5
,,3 tahun lalu,Korniawan Prabowo,Local Guide,134 ulasan,"Susu sarjana UNY pindah. Tempatnya masuk kedalam gank dan tidak tepat dipinggir jalan. Ini saya lampirkan foto lokasinya. Mungkin hanya bisa di akses oleh motor. Klo mobil mungkin harus jalan beberapa meter masuk gang. Harganya sama dan rasanya sama, tetap enak. Trutama yang rasa oreo.",4
,,5 bulan lalu,Ramadian Radite,-,284 ulasan,Susunya segar harganya murah dibanding warung-warung susu kekinian. Susu melon dan alpukatnya mantap. Kadang-kadang ada voucher diskon juga.,5
,,7 bulan lalu,Riqqah Nabila,Local Guide,49 ulasan,"salah satu tempat beli minuman favorit aku, harganya juga murah. paling suka sama susu coklat yang harganya cuma 12k dapet segede ini",4
,,setahun lalu,yusuf syaifudin,Local Guide,246 ulasan,"Saya pesan di shopeefood:
Susu sarjana rasa taro (20.000)

Susunya dari susu murni
Rasa taronya enak, manis, kemasan rapi, gelas besar, memang salah satu minuman susu terbaik di Jogja
Segar dan menyehatkan",5
,,2 tahun lalu,Nur Sholihah,Local Guide,47 ulasan,"Parkirnya luas sekali sekaraaang!! Walaupun jadi agak jauh dari jalan😂
Tapi tetep rasanyaa samaaa🥰 …",5
,,3 tahun lalu,herdiana ece,Local Guide,159 ulasan,"Susu sarjana terletak di dekat kampus UNY daerah istimewa yogyakarta tersedia berbagai macam varian susu,pesan aja lewat grab food",5
,,3 tahun lalu,Truly Nugraheni,Local Guide,412 ulasan,"Packaging cup nya baru 😀
Lokasi di Jl Gambiran . Dipinggir jalan ada sign nya, tapi lokasinya masuk gang dulu.
Rasa lumayan enak lah 😀 …",4
,,4 tahun lalu,Husna Rifaa,Local Guide,26 ulasan,"Susu favorite aku,,, susu nya enak ada berbagai varian rasa. Harganya mulai dari 10k, sayangnya engga ada tempat untuk bisa dine in :(",4
,,8 bulan lalu,Muthia Hanum,-,4 ulasan,"kemarin kamis, sekitar jam 3, saya kesana, posisi toko buka seperti yg ada di gmaps, lalu setelah antre 1 antrian dan mau pesan, mba-mba pekerjanya bilang “mba ini mau tutup” lalu saya tanya dong “sudah ga menerima pesanan mba? nambah 1 saja engga bisa?” karena disitu posisi orang-orang yg tunggu bisa saya hitung ada 3-4 pemesan. “engga mba, ini saya sendirian soalnya, jadi saya mau tutup” loh? memang begitu ya susu sarjana? kalau pekerjanya cuma 1 lalu banyak pesanan malah gamau diterima ya? kocak. mba-mba pekerjanya juga engga ada kata maaf sama sekali untuk attitude pekerja (apalagi dia front line susu sarjana yg harusnya melayani cust dengan baik), ditambah mukanya yang sepertinya sudah ogah ngelayanin saya. terpaksa saya ke susu sarjana cabang uin, gara-gara mba-mba pekerja di cabang uny “menolak” pesanan saya😊 lain kali kalau memang tidak mau menerima pesanan lagi, at least kasih tulisan tutup/sekalian saja kedainya ditutup sementara supaya engga ada orang seperti saya yang sudah antre dan tiba-tiba pesanannya tidak diterima di depan meja pemesanan. terima kasih.",1
,,4 tahun lalu,dian putri ratnasari,Local Guide,25 ulasan,"Recommended buat pecinta susu rasa. Rasanya enak banget. Harga dibandrol mulai dari 10 ribu. Sayangnya tempatnya kecil dan tidak bisa untuk nongkrong karena memang berada di gang kecil. But, you have to try Susu Sarjana :)",4
