PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Swiss Cafe,,,,,,,
,https://www.google.com/maps/search/Swiss Cafe jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Abian Husain,-,2 ulasan,"Three words saya melihat makanan tersebut Comfort, Hygiene and their staff are kind and Helpfull too. Pertama kali staycation di swissbell balikpapan breakfast banyak pilihan, menunya enak semua, its the best experience for me. Thank you 🙏😇 …",5
,,4 tahun lalu,afif ibrahim,-,3 ulasan,"Makanan di restaurant ini paling  enak dahh,pelayanannya juga bagus..dan banyak sekali pilihan makannya,saat disana saya paling suka dengan bebek goreng sudirmannya,rasanyaa mantaappp sekali..dan saat breakfast paling disukai bakmi goreng jawaa..semoga semakinn keren deh swisscafe..",5
,,4 tahun lalu,Deddy Trianto,Local Guide,787 ulasan,"Pelayanan sangat kurang, keramahan apalagi tamu dibiarkan dengan piring kotor diatas meja, rata2 petugas disini cuek bebek dan kurang menampakkan keramahan saya heran satu tahun sebelumnya datang masih juga merasakan atmospere yg sama direstaurant ini ....",3
,,2 tahun lalu,Nieyfha Honeyfha,-,1 ulasan,"Tempat menginap tang recomendded bh buat keluarga nyaman bersih pelayanan okeeeee
Next time bakal balik kesini lg",5
,,4 tahun lalu,esti amy,-,3 ulasan,"Pelayanan baikk,makanann variatif dan menarik,tempat nyaa nyamann. Recomended dehh kalo kaliann mo liburan ke jogja..",5
,,5 tahun lalu,Ariana Frida,-,12 ulasan,Pelayanan yg memuaskan staff menyenangkan dan rasa masakan tidak mengecewakan 🖒🖒🖒 …,5
,,2 tahun lalu,Hartanto Endratmojo,Local Guide,135 ulasan,"Pelayanan nya ramah..
Recommended lah...",5
,,4 tahun lalu,rana tri rukmana,Local Guide,33 ulasan,Mantab makanan dan pelayanannya..,5
,,4 minggu lalu,AnilKumar Bijjahalli,Local Guide,71 ulasan,"Kami menginap di Hotel Swiss Belboutique Yogyakarta adalah pengalaman yang luar biasa, terutama ketika datang ke restoran yang merupakan bagian dari hotel. Selama kami menginap dua malam, saya dan istri saya mencoba setiap makanan di sini, termasuk sarapan, makan siang, dan makan malam. Yang mengejutkan kami, kami tidak dapat menemukan satu pun poin negatif untuk disebutkan tentang restoran.

Salah satu hal terbaik tentang restoran adalah staf yang selalu tersenyum yang selalu bersedia membantu kami dengan pertanyaan kami tentang makanan vegetarian. Sebagai seorang vegetarian yang ketat dengan banyak pantangan makanan, saya memiliki banyak pertanyaan, yang saya terjemahkan di ponsel saya. Namun, staf selalu tersenyum dan dengan sabar menjawab semua pertanyaan kami.

Tapi makanan adalah sorotan nyata dari kami tinggal. Setiap hidangan yang kami miliki luar biasa dan sangat berbeda dari apa pun yang pernah kami makan saat bepergian. Salah satu hidangan yang menonjol adalah Bakmi Goreng Jawa (Mie Gelas dengan Sayuran), yang penuh dengan rasa dan dimasak dengan sempurna. Kami juga menikmati lumpia dan berbagai macam sayuran dalam saus yang berbeda, yang berbeda setiap hari.

Dan jangan lupa tentang sarapannya, yang merupakan hidangan Indonesia, Cina, dan kontinental yang mencengangkan. Kami dimanja oleh pilihan, dan setiap hidangan yang kami coba lezat. Dari nasi goreng tradisional hingga lumpia sayuran, semuanya segar dan disiapkan dengan sempurna.

Kesimpulannya, pengalaman kami di restoran Hotel Swiss Belboutique Yogyakarta merupakan sorotan selama kami menginap. Staf yang luar biasa, makanan lezat, dan sarapan yang membingungkan menjadikannya pengalaman yang tak terlupakan yang akan kami hargai selama bertahun-tahun yang akan datang. Saya sangat merekomendasikan hotel dan restoran ini kepada siapa pun yang berencana mengunjungi Yogyakarta.",5
,,4 tahun lalu,hermaner,Local Guide,48 ulasan,"Benar-benar menyukai tempat ini. Makanannya luar biasa, makanan Indonesia buatan sendiri, restorannya sangat nyaman dan elegan.
Kami akan kembali setiap saat untuk mencoba nasi goreng kecombrang yang luar biasa itu lagi!",5
,,4 tahun lalu,Teuku Muda Emir Angkasa,-,3 ulasan,Menu tradisional yang enak dan rasa yang sempurna untuk makan siang,5
,,4 tahun lalu,Gafar Ananda,Local Guide,67 ulasan,Kopi yang disajikan jauh di bawah harapan... ini bukan tempat untuk pecinta kopi...,2
,,5 tahun lalu,Rian rizal,Local Guide,136 ulasan,Bagus tapi bukan tentang biaya,3
,,4 tahun lalu,Moh Haris,-,3 ulasan,pelayanan yang baik,5
,,4 tahun lalu,Syaid Abramava,Local Guide,10 ulasan,Tempat yang bagus...,4
,,4 tahun lalu,Wulan Sari Lukito,,,,1
,,2 tahun lalu,VINCSXIEY,,,,5
,,4 tahun lalu,T Ikno,,,,5
,,5 tahun lalu,Charina Prasticasari (charinatica),,,,5
,,3 tahun lalu,rifaghn,,,,1
,,3 tahun lalu,rifaghn,,,,1
,,3 tahun lalu,rifaghn,,,,1
,,3 tahun lalu,rifaghn,,,,1
,,3 tahun lalu,rifaghn,,,,1
,,3 tahun lalu,rifaghn,,,,1
