PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Wedangan Sor Sawo,,,,,,,
,https://www.google.com/maps/search/Wedangan Sor Sawo jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 bulan lalu,Dewi Tarot,-,17 ulasan,"Namanya udah ganti: Pawon Mbokdis. Sy langganan makan di sini. Bisa dibungkus or makan di tempat. Masakannya enak semua. Favorit saya nasgornya. Rica2 juga enak. Yg suka sayuran ada capcay. Bakmi kwetiau lengkap. Harga cukup murah, sesuai dgn kantongnya org Jogja. Masaknya cepet, nggak antri lama. Penjualnya ramah. Bisa pesen dulu lewat WA. Pembayaran bisa pakai QRIS & cash.  Ini saya makan rica2 ayam. Di sini masakannya dijamin halal ya .. Bisa pesan di gofood juga. Rekomended.",5
,,6 bulan lalu,Fatimah Zahra,Local Guide,84 ulasan,"Suka banget makan disini, rasanya enak banget, harganya juga termasuk murah, porsinya banyak dan mengenyangkan, suka pool pokoknya 😍 biasanya pesen by WA terus nanti ambil, bisa pesan antar juga tp ada minimum pembelian, kalau makan di tempat juga enak, tapi suasananya kurang nyaman karena bener"" Pas pinggir jalan jadi agak bising 😁 but so far makanannya the best 👍🏻",5
,,sebulan lalu,Bayu Wiro,Local Guide,31 ulasan,"Mencoba menu mbokdis, enak banget. Rekomended...",5
,,7 bulan lalu,lisa indria,-,14 ulasan,Kwetiau gorengnya super duper enak. Warung sederhana tapi rasa makanannya ga sederhana alias enak2 bgt. Harga jg bersahabat. Recommended!!!!,5
,,2 tahun lalu,Uripku Bejo,-,11 ulasan,Ayam bakar Pawon Mbokdis sungguh legiiitt menggigit. Bumbunya meresaapp bangeet sampai ke tulang tulang.,5
,,8 bulan lalu,Agatha Anindita,Local Guide,27 ulasan,"Fav menu Bihun goreng 😊👍
Makin sukses & laris manis pawon Mbokdis🎉",5
,,setahun lalu,Theresia Evi,-,8 ulasan,Bukan sekedar tempat makan. Disini bisa berghibah dgn bakulnya yg ramaaah dan chefnya yg murah senyum. Makanannya sungguh endolita harganya pun murah.,5
,,setahun lalu,Maria Citra,Local Guide,59 ulasan,Murce dengan porsi jumbo dan rasa yang enaaak 👍 …,5
,,setahun lalu,Rizki Firmansyah,-,3 ulasan,"Cuma di pawon mbokdis bisa mendapatkan masakan dari Chef Hotel berbintang, dengan harga kaki 5😘😘 …",5
,,10 bulan lalu,Agmi Prasetyo,-,12 ulasan,Penyuka bakmi wajib merapat kesini,5
,,10 bulan lalu,Hermawan,Local Guide,196 ulasan,"TOP lah...
Penjualnya ramah banget",4
,,setahun lalu,jualbukusastra JBS,Local Guide,48 ulasan,Nasi goreng karinya istimewa,5
,,setahun lalu,Yuni,-,4 ulasan,Cap cay ngangenin... 😍,5
,,setahun lalu,Nyoman Pradnya putra,Local Guide,598 ulasan,Cukupan,2
,,setahun lalu,Catrin Wijaya,-,2 ulasan,enak murah 🥰 …,5
,,setahun lalu,Sae Sae,Local Guide,100 ulasan,Rasaanyaaaa mantapp,5
,,2 tahun lalu,djoko .soembono,Local Guide,17 ulasan,Harus mencoba ayam,5
,,setahun lalu,ayu gracilia,Local Guide,31 ulasan,Nikmati menunya,5
,,10 bulan lalu,Saputro Nikolas,,,,5
,,2 tahun lalu,Mahecvara Mahendra,,,,5
,,setahun lalu,22_Rasya Triandra,,,,3
,,setahun lalu,Inggit Subekti,,,,5
,,10 bulan lalu,partner cinema,,,,5
,,2 tahun lalu,Yasinta Nila,,,,5
,,setahun lalu,Adriansyah Zamzani,,,,5
