PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
XYZ Coffee & Collabs,,,,,,,
,https://www.google.com/maps/search/XYZ Coffee & Collabs jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 bulan lalu,Alldhyan Putra,Local Guide,59 ulasan,"Pengen kopi rasa A*ICE Jagung?👀 Disini tempatnya!

XYZ Coffee & Collabs adalah salah satu tempat buat kalian yang nyari tempat buat Work From Cafe atau hal produktif lainnya. Kursi dan meja di dalem nyaman baik buat yang mau kerja sendiri, barengan, atau berduaan bisa. Ada ruang meeting yang bisa disewa hanya dengan syarat minimum order. Tempatnta nyaman dan cozy dengan penerangan cahaya yang pas. Ada indoor dan outdoor area buat yang merokok atau sejenisnya. Selain itu disini juga ada lorong cakep yang cocok buat foto foto. Fasilitasnya ada kamar mandi dan musholla. Yang kurang dari tempatnya adalah parkirnya yang ga terlalu luas terutama buat mobil, cuman kalau untuk motor masih mencukupi. Lokasinya yang juga masih terhitung tenang.

Untuk menunya sendiri hanya 20 ribuan aja baik buat makan dan minumannya. Waktu berkunjung ada menu spesial christmas yakni butter beer dan cream brule. Yang unik disini adalah kopi rasa jagungnya yang aroma sama rasanya mirip mirip es krim A*ICE. Rasanya enak, kopinya masih kerasa dengan tambahan rasa jagung jagung gitu. Apalagi harganya sebotolnya cuman 27 ribu rupiah. Selain itu, karena terletak tepat di samping Karafuru Ramen, kita juga bisa pesen ramen dari samping untuk dimakan disini.

Overall tempatnya rekomen untuk kalian yang nyari tempat untuk WFC di daerah sekitar Caturtunggal👌",5
,,3 bulan lalu,Vicky Koapaha,Local Guide,150 ulasan,"Untuk parkir roda empat agak kesulitan.
Untuk minumannya uniiiik rasanya dan kemasannya lutcuuuhhhhh, makanannya goood platternya bsa buat 1 RT sih, bisa mesen disebelah jg ada rameeen xixixixi
Ada lorong yg bisa buat foto2 jugaaaa seruuuu",5
,,9 bulan lalu,Nadya,Local Guide,20 ulasan,"Woe mantep banget kesini. Udah tau dari dulu pas di ringroad, tapi emang belum sempet cobain. Kirain tutup gulung tikar, taunya pindah kesini. Mantep bener kopinya. Enak dah. Seriusan. Meskipun kecil, weits cabe rawit bos. Nendang banget kopinya!! Creamy sama manisnya pas, bakalan balik terus sih. Tempatnya cukup luas, wifi kencengg. Ada mushola jg jadi aman kalo mau disana lama👌🏼👌🏼",5
,,10 bulan lalu,Icha Afkarina,Local Guide,311 ulasan,"Tempatnya nyamandan minimalis.
cocok buat yang mau nugas atau sekadar nongkrong aja 👍
Harganya lumayan pricey mungkin karena letaknya strategis juga sih.

Pelayanan ramah banget ❤️
banyak colokan juga.
kamar mandi bersih.
ada musholla",5
,,8 bulan lalu,Cynthia Annisa,Local Guide,331 ulasan,"Dengan harga yang terjangkau, rasa makanannya lumayan. Bisa parkir motor dan mobil. Ada mushola disini, tempat wudhu kurang baik, semoga masih bisa diperbaiki. Toiletnya bersih tapi luas banget, ngga tau kenapa bisa sebesar itu toiletnya.",4
,,4 bulan lalu,Cafe Jogjakarta,Local Guide,28 ulasan,"Nyobain Kopi Susu yang botolnya unik, disini juga ada spot lorong yang instagramable juga. Jujur cocok banget tempatnya buat produktif sambil ngopi",5
,,5 bulan lalu,Andreas Kurniawan,Local Guide,179 ulasan,"Tempatnya nyaman, cocok buat bersantai / ngobrol sama teman / kerjain tugas..
Utk kopinya mgkn bisa lebih strong dikit,,,",4
,,2 bulan lalu,Lina Maharani,Local Guide,206 ulasan,"Tempat buat WfC yang dekat dari kampus UGM UNY nih. Koneksinya kenceng, harganya standar. Es kopi susu nya enak² sih aku suka. Kalo beli yg botolan, botol nya bs dibawa pulang. Hihihi",5
,,2 bulan lalu,Nurul Aisyah,Local Guide,31 ulasan,"So far varian coffee nya enak2, untuk non coffee jg ga kalah enak sih. Untuk varian snacks nya mayan sih, ada cookies & platter isian kentang sosis gitu tp rasanya biasa aja kayak platter pada umumnya.

Untuk harga nya sendiri sih standar ya. Tempatnya cozy, ada indoor & outdoor. Tersedia meeting room juga tp ga begitu luas. Barista nya ramah dan edukatif. Overall oke, minus nya cuma tempat parkir sih kalo untuk mobil agak susah parkir yaa cuma kl untuk motor yaaa lumayan lah tp ga gede space parkirnya.",4
,,3 bulan lalu,Putri Afifah Yasmine,Local Guide,14 ulasan,"Nyaman (buat belajar atau ngobrol), baristanya super ramah ❤️ yakinikunya enak sekaliii 👍",5
,,4 bulan lalu,Anita Zulrakhmida Fajriani,Local Guide,18 ulasan,"Udah langganan kesini. Kopi brulee nya enak banget, tempatnya nyaman. Jarak antar satu kursi ke kursi lain tidak mepet. Baristanya ramah. Makanannya juga enak. Pas banget buat nugas",5
,,5 bulan lalu,Umi Kaltsum,Local Guide,266 ulasan,Tempatnya enak buat WFC karna gak berisik. Bisa pesen ramen lagi ❤️,4
,,5 bulan lalu,Willie Al-Ahsan,Local Guide,14 ulasan,"suasananya syahdu enak buat nugas, bagus kok. range harga mulai dari 20k",4
,,2 tahun lalu,Destri Herliana,-,3 ulasan,"Cozy banget tempatnya konsepnya juga minimalist gitu, nyaman banget, ini cafe paling terpw, baristanya juga ramah dan baik. Cocok dah yg mau nugas sambil ngopi ditemani suasana yg tenang. Kemarin aku pesan red velvetnya, ternyata enak banget harganya juga cukup ramah untuk kantong mahasiswa seperti saya ini hehe. Tenang wifinya cukup kencang kok, tempatnya ada indoor dan outdoor ya 🥰",5
,,2 tahun lalu,Lintang Mahadewa,Local Guide,116 ulasan,"Tempatnya lebih bagus daripada Kafe-kafe lain didaerah sekitar mereka. Cocok buat kalian yang mau nugas, kerja, diskusi kelompok, atau sekedar nongkrong bareng temanmu. Bersih, ekonomis, wifi kenceng, dan juga dingin.

Beberapa pertimbangan:
- Tempat Parkir yang luas, tapi kurang jelas disuruh parkir dimana
- Identitas XYZ yang terlalu polos (Apa itu XYZ?)
- Minuman variatif, tapi standar itu-itu aja. Gaada yang spesial, untung enak, wkwkwk

Ditunggu nih pematangan konsep dan kafenya secara keseluruhan.

I will watch your career with great interest.",5
,,sebulan lalu,Bunsa Jondan Satriawan (Jondan #2),-,3 ulasan,Tempat dan suasana sangat nyaman dan cocok untuk mengerjakan tugas atau kumpul bersama,5
,,3 bulan lalu,Irfan Muhammad,Local Guide,224 ulasan,"Parkir saja mungkin yg harus sedikit diluaskan.

Selain kalimat diatas, semuanya oke.",5
,,2 bulan lalu,Aji Bayu Yahya,-,2 ulasan,"Kesana buat meeting sama team dan tempatnya nyaman bgtt. Di meeting roomnya juga okee muat sampe 8 orangan, wifi kenceng dan ruangannya ademmmm. KOPINYAA ENAKK BGTTTT agak creamy terus soft gituuu. pesen yang pake botol bisa buat ngisi gelasnya sampe 3 kali dan bisa refill es batu jugaaa",5
,,sebulan lalu,Umi Fatma,-,4 ulasan,"Makanannya lumayan lah bintang 4 soal rasa , pelayanannya ramah cuma makanannya self service alias ambil sendiri gapapa sih , cuma agak aneh aja 😅 . Untuk lokasi ya lumayanlah . Makin malem makin rame , lebih direkomendasikan buat nongkrong ga buat nugas karna tempatnya ga terlalu luas tapi pengunjungnya agak padet jadi lumayan rame (brisik)",4
,,seminggu lalu,Aisha Nadine Adjani,-,2 ulasan,"Tempatnya nyaman banget buat nugas atau kerja, pelayanannya bagus, wifinya juga lancar, overall sukaa bgtt",5
,,3 bulan lalu,Zuli Jamiati,Local Guide,86 ulasan,tempatnya cozy banget enak buat nugas sendirian,4
,,4 minggu lalu,fransiska vionita,Local Guide,133 ulasan,"Tempatnya bersih ada spot foto kaya pameran kesenian gt, cuman musholanya agak kecil tp enak buat nongkrong disana",5
,,setahun lalu,Joy Jen,Local Guide,20 ulasan,"Tempatnya enak, cozy, okelah buat nugas, kopinya lumayan dan affordable. Karna brandingnya cafe untuk nugas gw kesana buat nugas, but lot of people yg gabisa menghargai orang lain yg ingin ngerjain tugas. Mereka berisik (sepanjang waktu) jadinya yg niat nugas jd tertanggu. Di indoor mereka teriak2 jadi ya gimana gt ya. Pihak cafenya juga gada tindakan dan gada sign utk jaga ketenangan wkwkwk (masukan ya). So this is the bad experience thank you!",1
,,7 bulan lalu,puspita rahayu,Local Guide,241 ulasan,"Makanannya tidak terlalu enak, suasanya asik  tenang, pelayanan juga baik ramah",4
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
