PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Zomia Co-Working Space,,,,,,,
,https://www.google.com/maps/search/Zomia Co-Working Space jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Yukovani,Local Guide,36 ulasan,"Nyaman banget tempatnya buat nugas atau nongki soalnya di bawah pohon2 besar jadi sejuk banget, tapi untuk orang awam yg tidak biasa sama lingkungan kampus UGM lumayan bingung untuk masuk menuju ke cafe ini tapi bisa ngikutin maps aja pasti ketemu. Untuk soal minuman dan makanan rasa dan harganya standart cafe2 pada umumnya belum ada yang istimewa.",5
,,setahun lalu,Ajeng Sitoresmi,Local Guide,355 ulasan,"Nemu satu lagi cafe di tengah kampus UGM! Kesini karena nungguin yang lagi meeting di fakultas sebelah. Lumayan karena buka sampai jam 6. Minuman variatif ga cuma kopi. Makanan juga enak. Dengan penyajian tidak memakai piring dan gelas plastik (penting buat aku karena penyajian bisa mempengaruhi selera makan). Harga affordable. Tempat duduk banyak dan bisa pilih mau yang model apa. Colokan banyak. Dan ada wi-fi! Kelemahan cuma satu, belum punya kamar mandi sendiri. Sepertinya aku harus melakukan pemetaan posisi kamar mandi di sekitar cafe ini (ga cocok sama yang di tempat wudhu mushola soalnya).",5
,,5 bulan lalu,carissa,Local Guide,31 ulasan,"Co-working space ditengah tengah fakultas kehutanan kampus UGM, ada indoor dan outdoor, di indoor ada acnya tapi ga terlalu dingin, outdoor tersedia kursi tinggi, kursi biasa, dan bean bag. Kesini pas siang siang super cozy banget, padahal cuaca lagi panas banget tapi disini ttp sejuk, anginnya semilir”, harga minuman normal,- nya pastinya kalo malem banyak nyamuk, recommended siang - sore kalau lagi butuh suasana tenang",5
,,5 bulan lalu,Widya Maharani,Local Guide,47 ulasan,"Lokasinya ada di dalam UGM tepatnya di Fakultas kehutanan. Tempatnya sejuk banget karna di bawah pohon pohon rindang. Makanan dan minumannya enak. Cocok banget buat nongki, santai, kerja ataupun nugas. Sayangnya pas kesana rame banget jadinya ga begitu menimmati suasana. Tapi its ok. Tetep enak kok. Worth it lah",5
,,setahun lalu,Edwin Wibowo,Local Guide,113 ulasan,"Lokasinya didalam kampus UGM, tepatnya di Fakultas Kehutanan. Tempat : nyaman, sangat bersih, jumlah meja kursi memadai, ada ruang indoor dan outdoor, cocok untuk kalian yang mau mengerjakan tugas sambil ngopi, suasana sejuk dan segar karena dibawah pohon. Menu : kopi-kopian lengkap dehh, ada juga bread, cake, ada makan juga beef garlic dll. Rasa : meskipun rasa ini subjektif, namun bagi saya tiap menu yang saya coba enak kok, dalam artian semua habis tanpa sisa, penyajian juga menarik. Terakhir harga : karena menyasar pasar mahasiswa maka harganya juga bersahabat kok, menyesuaikan pasar.",4
,,5 bulan lalu,Bela Tyara Nur Fajrina,Local Guide,183 ulasan,Ini cafe ternyamann yg pernah aku datenginnn sumpa enak bgt ademm makanan minumannya jg affordable pkonya klo aku anak jogja pasti sering kesini sihh. Enakeun buat nugas or wfc,4
,,10 bulan lalu,Teguh Ari Prabowo,Local Guide,210 ulasan,"Lokasinya strategis buat dosen, pegawai dan mahasiswa ugm yg kiranya ga punya banyak waktu untuk pergi hanya sekedar rapat. Tempatnya nyaman ada indor dan outdor. Menunya komplit ada makanan dan minuman. Kekurangannya di harganya ckp mahal, AC yg indor sebaiknya di service supaya lebih dingin klo siang. Minumannya gulanya kemanisan bila dibandingkan minuman serupa di cafe lain. Tapi pelayanannya ok dan ramah. Semoga diperbaiki yaa kekurangan nya",5
,,2 bulan lalu,Azaliasari Aqmarina,Local Guide,44 ulasan,Suka banget sama coffee shop yg ada di tengah kampus ini. Menu coffee-nya variatif dan sandwich-nya porsi gede. Bisa sharing kalau ga lapar lapar amat. Semuanya worth the price 👍,5
,,setahun lalu,hamam hasan,Local Guide,102 ulasan,"Pelayanan yang ramah menjadikan tempat ini menjadi salah satu tempat yang nyaman. Jauh dari bising kendaraan karena lokasinya berada di area kampus Universitas Gajah Mada (UGM), tepatnya di Fakultas Kehutanan UGM. Untuk pengendara motor, motornya bisa diparkirkan di area parkir mahasiswa kehutanan dan berjalan menuju working space. Terdapat kamar mandi dan mushola namun lokasinya terpisah dari bangunan coworking. Juga terdapat banyak stop kontak dan disediakan roll kabel. Harga yang terjangkau, lingkungan yang nyaman untuk bekerja ataupun mengerjakan tugas kuliah, menjadi salah satu alasan tempat ini ramai dikunjungi.",4
,,5 bulan lalu,Irna Lestari,Local Guide,27 ulasan,"Cozy banget tempatnya buat nugas dan rasa coffee serta minuman lainnya enak. Kopinya creamy, favorite yg caramel. Matcha latte nya juga so yummy",5
,,10 bulan lalu,Djojos Soer,Local Guide,345 ulasan,"Tempatnya nyaman buat ngopi, ngetik dan diskusi bareng temen. Ada indoor dan outdoor nya jg. Berada di fakultas kehutanan UGM dan dekat dari fakultas lainnya, seperti Fakultas teknologi pertanian, fakultas pertanian dan fisipol. Kopi dan makanannya lumayan enak, lagu2nya jg asik.",5
,,6 bulan lalu,Utama Dima,Local Guide,245 ulasan,"Tempatnya enak banget buat nyantai ataupun nugas, adem banyak pohon dan ada pilihan indoor ber-AC atau outdoor buat yg mau ngerokok.

Untuk harga pun nggak begitu mahal, masih reasonable.",5
,,8 bulan lalu,Yaumi Khoirotul Fajriyah,Local Guide,159 ulasan,"harga terjangkau, ambience oke, tempat nyaman. rasa minuman dan makanan sih sebenernya so-so, tapi gapapaaa. saya suka vibes nongkrong di sini apalagi saat malam. syahdu wkwk",5
,,11 bulan lalu,Irfan Bakhtiar,Local Guide,868 ulasan,"Tempat ngopi, diskusi, dan nongkrong yg luar biasa. Kopinya istimewa. Biasanya menikmati kopi susu gula aren yg yahuud. Terakhir coba menu2 baru... makin oke ini Zomia...",5
