PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
꧋ꦄꦁꦏꦿꦶꦔꦤ꧀ꦥ꧀ꦭꦼꦁꦏꦸꦁꦮꦶꦗꦶꦭꦤ꧀ Angkringan Plengkung Wijilan,,,,,,,
,https://www.google.com/maps/search/꧋ꦄꦁꦏꦿꦶꦔꦤ꧀ꦥ꧀ꦭꦼꦁꦏꦸꦁꦮꦶꦗꦶꦭꦤ꧀ Angkringan Plengkung Wijilan jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,7 bulan lalu,Fathia Vikri Salsabila,Local Guide,111 ulasan,"Angkringannya anak muda bestie 🙌🏼 mau dibuat rapat, arisan, nongki, nobar, PS an atau kumpul-kumpul bisaaa banget. Bisa cuss hubungi ownernya 👍🏽 mantab pokokmen. …",5
,,setahun lalu,Emy Setyawati,Local Guide,3 ulasan,"Nongkrong yg asyik, ada wifinya",5
,,setahun lalu,Ghazi Ahnafi,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
,,setahun lalu,Rayhan Maulana,,,,5
