PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
basori,,,,,,,
,https://www.google.com/maps/search/basori jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Funny Cats - Kucing Lucu,Local Guide,95 ulasan,"Tempat kongkow2 di bawah pohon beringin sebelum masuk area kraton or tamansari di selatannya. Banyak bule n turis yg jalan2 di sekitarnya. Dijadikan tempat mangkal kereta kuda jg...Di dekatnya ada papan yg ditempeli koran lokal, shg bisa dimanfaatkan utk membaca secara gratis",5
,,4 tahun lalu,Hendy Sulardi,Local Guide,63 ulasan,Tempat tongkrongan yg asik nan sejuk,5
,,4 tahun lalu,Shile Hendi,-,2 ulasan,Tempat nongkrong yg sejuk dan damai,5
,,4 tahun lalu,Surya Anindito,-,2 ulasan,Syahdu,5
,,5 tahun lalu,Nonon Nalinda,-,1 ulasan,Tempat tongkrongan yang asyiiik,5
,,4 tahun lalu,sutikno sp,Local Guide,672 ulasan,Santai,3
,,4 tahun lalu,Azalia Obviatsany Zusmar,Local Guide,239 ulasan,Suka,5
,,4 tahun lalu,Setyo Tc,Local Guide,210 ulasan,Sobari,3
,,5 tahun lalu,yogayudis tria,,,,5
,,2 tahun lalu,Putut Aribowo,,,,5
,,seminggu lalu,Andhika Prasetyo,,,,5
,,4 tahun lalu,Njajal HP,,,,5
,,3 tahun lalu,anto bowo,,,,4
,,setahun lalu,Eko Almaruf,,,,3
,,3 tahun lalu,Anissa Sasongko,,,,4
,,3 tahun lalu,Budi ABS,,,,5
,,3 tahun lalu,Septa Arefiant,,,,5
,,3 tahun lalu,Gema Santoso,,,,5
,,3 tahun lalu,Gema Santoso,,,,5
,,3 tahun lalu,Gema Santoso,,,,5
,,3 tahun lalu,Gema Santoso,,,,5
,,3 tahun lalu,Gema Santoso,,,,5
,,3 tahun lalu,Gema Santoso,,,,5
,,3 tahun lalu,Gema Santoso,,,,5
,,3 tahun lalu,Gema Santoso,,,,5
