PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
dTEKO,,,,,,,
,https://www.google.com/maps/search/dTEKO jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Kakaroco88,Local Guide,161 ulasan,"Halo Guys 🙋🏻‍♂️,
Salam Local Guide 🌍 dari Tangerang kembali lagi bersama kakaroco88 kali ini Bang Kaka akan kembali mencari tempat yang baru dan unik lainnya bagaimana keseruannya yuk cek it out.
Perjalanan pulang kampung di Wonosari tidak lengkap rasanya jika kita tidak mereview atau mengulas tempat yang menarik.
Contohnya malam ini Bang Kaka kembali melakukan perjalanan kulinernya mencari kopi shop terdekat.
Bernama d'Teko yang punya moto make you feel heppiii 76, beralamat di jalan Pudak no 42 Wonosari, Yogyakarta. D'Teko nama yang cukup unik, memberikan suasana menyuguhkan secara tradisional dengan desain modern dan kekinian yang disukai anak zaman now.
Karena akses masuk gang senggol yang hanya cukup satu mobil atau sempit disarankan membawa motor dan mayoritas pengunjung disini membawa motor. Malam ini pengunjung yang datang sangat ramai sekali meski waktu sudah menunjukkan pukul 22.30 WIB. Tempatnya yang cukup luas, dimana pengunjung bisa duduk di outdoor dekat parkir, di bagian dalam ada kursi tinggi dekat barista kafe d'Teko, di kursi panjang yang di dalamnya ada panggung untuk love music.
Jika kalian masuk bisa langsung pesan dan bayar langsung ya guys ke si ibu yang berada persis disamping barista setelah itu menunggu di kursi kosong yang sudah kalian pilih.
Daftar menunya cukup variatif dan harganya pun murah-murah cocok di kantong anak sekolah. Saat Bang Kaka kesini banyak sekali pengunjung muda mudi yang datang ya kira-kira berumur sekitar 15 tahun lebih.
Malam ini Bang Kaka pesan kopi ☕ V60 Beanch Arabika Bali Kintamani taste nya cocok di lidah dengan aroma Fruity nya dihidangkan panas, Matcha Latte nya lumayan rnak, Coffee Latte nya juga cukup enak, Sosis Goreng satu porsi cukup enak dan Cireng goreng lumayan enak meski agak keras. Fasilitas toilet juga tersedia disini, meski meja nya masih kurang bersih. Langsung saja kita review hasilnya.
1. Pelayanan 7.
2. Harga $.
3. Kebersihan 7.
4. Fasilitas 7.
5. Kenyamanan 7.
Hasil review berdasarkan kondisi saat di lokasi.
Follow medsos Bang Kaka
Facebook Kaka Roco 🗣️
Instagram kakaroco_maps
Twitter @kakaroco88 🐦
YouTube Rinco88 and Kakaroco88 🚩
Semoga bermanfaat dan sampai jumpa di review selanjutnya.",5
,,seminggu lalu,Ade Ristha,Local Guide,49 ulasan,"Tempat di gang pemukiman, ga begiu jauh sih dr jalan raya, parkir untuk mobil terbatas karena dipinggir jalan. Parkiran yg disediakan  hanyauntuk motor. Tempat nyaman, makin malam makin rame. Makanan lumayan. Minuman, ada milkshake, jus, kopi²an, susu murni. Harga standar. Pas ksana ga ada live music. Menu lumayan variatif",5
,,7 bulan lalu,Hidayatun Mahmudah,-,16 ulasan,"Recomended buat Anda yang suka sendiri maupun bersama kawan, saudara, keluarga. Pilihan tempat duduk yang bervariasi indoor, outdoor. Soal menu lumayan lah... Nasgor juga patut untuk dijajal. Well..... Segera cuuzz sajalah... ☺👌 …",5
,,6 bulan lalu,Tuffaha TV,Local Guide,53 ulasan,"Tempat Nyaman, cuma kemarin Pesan minuman jahe sereh, jahenya utuh tanpa digeprek, itu saja sih ,

Semoga lebih baik lagi.",3
,,sebulan lalu,Hanif Nur Rahman,Local Guide,50 ulasan,"Menurut saya tidak ada perubahan dari segi konsep dan penataan ruang. Tempatnya mantap lah buat nongkrong. Dari pelayanan ngga terlalu lama menunggu karena saat itu pas lagi sepi. Dari makanan saya cuma pesan gorengan sama jamur dari rasa menurut cukup enak namun untuk gorengan agak berminyak sedikit, tapi okelah. Untuk tempat parkir menurut saya cukup luas tapi karena tidak ada tanda garis parkir motor jadi ngga rapi.",5
,,2 tahun lalu,Roni OO,Local Guide,172 ulasan,"Xixixi tempat yg penuh kenangan eaaa..

Cocok nih buat kamu yg cari tempat nongkrong bisa di dalam & luar✨Ini recomended

Kelebihannya guys :
🛋️Syahdu
🕴️Sellernya Ramah
🔌Ada stop contact & bisa minta roll buat cas
📶pastinya ada wifi, kecepatanya bagus

✨✨

But tempat parkir kurng luas

Kepoin yuk

Stay Safe 💞 & Stay Healthy🍒
Dimasa Pandemi
Jangan lupa
😷Pakai Masker
🚧Jaga Jarak Aman
👐Cuci Tangan
🧴Bawa Hand Sanitizer",4
