PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
menjamu.kopi,,,,,,,
,https://www.google.com/maps/search/menjamu.kopi jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,Dwina Sanriska Putri,-,3 ulasan,"Cocok banget buat nongkrong bareng temen2, minuman dan makanannya jg oke bgt! yg paling penting harga murah kualitas bintang5💯💯 …",5
,,2 tahun lalu,Endang Antoro,-,1 ulasan,"Recomend dech untuk ""menjamu"" kopi lokal,, sukses selalu 👍😊 …",5
,,2 tahun lalu,Lidya Rosliyana,-,1 ulasan,Tmptnya bersih dan nyaman. Menu dan rasanya juga mantaap 👍👍 …,5
,,2 tahun lalu,Ermawati Rahayu,-,5 ulasan,"Tempat yg pas bgt buat ngupi²
Kangen Jogja ❤️",5
,,2 tahun lalu,Jhans Andry,-,19 ulasan,Ini baru kopi enak dan tempatnya asik gak bising..,5
,,2 tahun lalu,Purwatmo pur,-,12 ulasan,"Tempat ngopi baru di sagan.
Recommended",5
,,2 tahun lalu,Jindar Bustaman,-,5 ulasan,Kopinya mantap!!,5
,,2 tahun lalu,Zella Endikasari,Local Guide,15 ulasan,mantep bgt!,5
,,2 tahun lalu,Jalaludin Akhmad,-,1 ulasan,Memuaskan,5
,,2 tahun lalu,Aden Agung,-,1 ulasan,Waiki.. jualan dulu yuk.. besok kalo ga mampir ngopi.. yuk ada promo.. wkwkwk,5
,,2 tahun lalu,Aghniya Perkasa,,,,5
,,2 tahun lalu,ardhi caphin (Caphin),,,,5
,,2 tahun lalu,Marcelina Vhayza Fatma,,,,5
,,2 tahun lalu,Ali mursyid,,,,5
,,2 tahun lalu,Ali mursyid,,,,5
,,2 tahun lalu,Ali mursyid,,,,5
,,2 tahun lalu,Ali mursyid,,,,5
,,2 tahun lalu,Ali mursyid,,,,5
,,2 tahun lalu,Ali mursyid,,,,5
,,2 tahun lalu,Ali mursyid,,,,5
,,2 tahun lalu,Ali mursyid,,,,5
,,2 tahun lalu,Ali mursyid,,,,5
,,2 tahun lalu,Ali mursyid,,,,5
,,2 tahun lalu,Ali mursyid,,,,5
,,2 tahun lalu,Ali mursyid,,,,5
