PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
monalisa burger,,,,,,,
,https://www.google.com/maps/place/monalisa+burger/data=!4m7!3m6!1s0x2e7a59b87182ef13:0x162ed4a237f35e6b!8m2!3d-7.7730725!4d110.375709!16s%2Fg%2F11f6l1dfxh!19sChIJE--CcbhZei4Ra17zN6LULhY?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 bulan lalu,langit ramadhan,Local Guide,334 ulasan,"Burger pionir pada masanya, bisa dikatakan udah jadi makanan nostalgia utk banyak orang. Penasaran, sering lewat tp blm pernah jajan. Warung tenda yg buka sore hari, open kitchen kombinasi drive through, kalau pas parkiran sepi, hehe. Burgernya gede ukurannya, diwadah mika, pakai saus racikan sendiri. Bukan spti mayo, tp lbh ke saus gravy yg dikentalin pakai tepung. Isian sayurnya cukup lengkap. Isian burger tidak spti patty pada biasanya, lbh mirip ke rolade/galantin. Sblm diracik, patty digoreng dulu, emang agak lain. Pas dicicip rasanya malah kaya daging kornet, dari segi rasa, bukan selera saya. Roti bunnya dia tipe yg agak basah macam roti sisir. Kalau pesan burger keju, ntr akan dapat setengah iris keju. Sebiji burger keju harganya 24rb",3
,,setahun lalu,Yunia Anggra Dewi,Local Guide,147 ulasan,"Burger the best di jogja...
Burgernya itu beda banget sama burger2 yg d jualan d luaran. Saos nya tu home made jd rasanya cenderung lebih k manis.jd saos nya engga cuma saos tomat dan mayones. Saosnya punya ciri khasnya burger monalisa. Dagingnya juga tebal dan yg paling suka kasi bawang bombainya engga pelit. Langganan d sini semenjak harga burgernya 10.000 dan skrmg sudah 25.000 tp rasa tetap sama..",5
,,setahun lalu,iwan setiawan,Local Guide,165 ulasan,"Burger khas Jogja, sudah kenal sejak tahun 88an.. Pengalaman pertama makan burger di jogja, saat itu hanya monalisa yg jual burger, McD pun belum masuk jogja.
Rotinya lembut, dagingnya tebal, berasa banget, saus nya khas monalisa, cenderung manis, cocok untuk lidah Jawa.. Hehehe. Sampai tahun 2022 masih selalu beli kalau pas ke jogja. Anak2 saya juga sangat suka monalisa.",5
,,2 bulan lalu,Djoko Setiawan,Local Guide,295 ulasan,"Konsisten enak, burger kearifan lokal. TKDN-nya 100 persen. Rasanya 'njawani'. Tetap eksis ditengah gempuran burger 'impor' dan franchise besar.",5
,,8 bulan lalu,TIGA Ndra,Local Guide,196 ulasan,Buat nya cepet..ini jauh beda rasanya sama burger yg sudah ada outletnya ya...untuk rasa aku g suka..karna aku g suka manis..ini entah apa saja crim yg ada di dalam...selain saos 'semacam krimer atau apa entah..dan aku eneg.walopun udh minta rasa pedas..kembali keselera masing2..banyak juga kok yg suka..kalo penasaran silahkan di coba😁bagi yg pecinta pedas.asin.gurih..sebaiknya jangan coba2 jika g ada teman yg bantuin habisin..untuk spagety nya enak.g ada fotonya udah langsung di lahap sama anak2,4
,,5 bulan lalu,Ambrosius Brian,Local Guide,182 ulasan,"Burger legend..untuk dagingnya di olah dengan di goreng dengan saos mayo khas buatan sendiri..isian dengan tomat, timun, & bawang bombay mentah segar..",5
,,4 bulan lalu,Jodie Senoatmojo,Local Guide,317 ulasan,"Bila burger yang biasa kita kenal adalah berasa gurih, di sini ada burger yang ber-cita rasa Jogja banget. Mayonnaise-nya manis!

Cuma kalau sekarang sudah berubah deh kayaknya (Ada yang bisa bantu, benarkah rasa monalisa berbeda sekarang?) Cita rasa ngangeni, buat wong Jogja lawasan kayak saya, sudah nggak berjejak.

Selain rasa yang khas, cara pencatatan bill-nya juga masih sama dengan jaman dulu (medio 90an) yakni dengan secarik kertas. Ntaps.

But anyway, Monalisa ini masih jadi salah satu burger legend di Jogja.",4
,,5 bulan lalu,Syahrani Lonang,Local Guide,71 ulasan,Tempat boleh kaki lima tapi rasa bintang 5. Worth it dan terjangkau lah harganya. Untuk porsi burgernya besar dan sayurannya segar. Recommended untuk dicoba.,5
,,sebulan lalu,Haris Masyhudi,Local Guide,112 ulasan,Burger dengan rasa original sauce dan daging yang tebal serta memiliki ciri khas rasa tersendiri yang tetap terjaga lebih dari 30 th..,4
,,6 bulan lalu,Rezy Afdhal,Local Guide,156 ulasan,Burger affordable dengan isian dan bun yang enak. Untuk saosnya juara 💯,5
