PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
omah salon,,,,,,,
,https://www.google.com/maps/place/OMAH+MILLA/data=!4m7!3m6!1s0x2e7a56d8f332dcaf:0xc02bb59dbde28a6e!8m2!3d-7.8296122!4d110.4158284!16s%2Fg%2F11g6mfj_x0!19sChIJr9wy89hWei4RborivZ21K8A?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Dhita Erdittya,Local Guide,31 ulasan,"Direkomendasikan teman sudah lama, tapi baru eksekusi sekarang karena badan sudah butuh perawatan. Mbak adminnya ramah dan gercep. Setiap saya nanya promo bulan itu, biasanya langsung dibalas. Letaknya di dalam perumahan  dan bentuknya seperti rumah yang terdiri dari kamar-kamar perawatan.

Janjian dulu bisa atau langsung datang. Di handle satu terapis sampai selesai perawatan. Karena baru sekali, saya cuma bisa kasih review satu terapis. Mbaknya ramah dan menjaga banget privasi pelanggan. Saat masuk, kita bisa ke meja kasir dulu untuk order perawatan apa. Ada yang satuan misal facial aja, atau paketan promo bulanan.

Sebelum perawatan, dikasih kemben ganti sama cover celana dalam (biar enggak kotor saat perawatan). Kalau saya ambil paket facial Wardah-massage 45 menit-scrub kopi 155rb selama 2 jam lebih. Saya udah lama enggak ekstraksi komedo, jadi sakit. Semua bahan pakai Wardah yang halal.

Untuk kebisingan, karena masih di perkampungan, srawungnya masih kentara. Yang enggak suka suasana ramai karena pegawai ceritaan, mungkin ini enggak cocok. Tapi pas massage, privasi terjaga. Enggak bising pas di ruang facial. Enak pijetannya, apalagi scrub kopinya. Mandinya bisa pakai air anget/dingin, ada sabun mandi. Dipinjemin handuk juga.",5
,,5 bulan lalu,Ummu Naila,-,8 ulasan,"Alhamdulillah ... akhirnya ketemu juga tempat perawatan yg aman, nyaman, ramah&harga terjangkau. Tempatnya luas, bersih. Buat yg bw anak kecil recommended bgt deh. Bikin anak gak bosen nunggu bundanya perawatan.",5
,,3 tahun lalu,aji nur afifah,Local Guide,83 ulasan,"Harganya terjangkau, cukup nyaman, servicenya juga ramah. Paling suka treatment massagenya. Potongpun nggak perlu janjian terlalu lama karena pegawai khusus potong rambutnya selalu ada. Tapi untuk treatment yang lain selain potong, nampaknya memang harus janjian biar tidak bertabrakan dengan treatment customer lain.

Ruang tamu untuk menunggunya juga cukup nyaman meskipun menurut saya kurang terang lampunya (karena tadi sore dimatikan jadi agak remang-remabg). Untuk kebersihan baju, alas, dan bednya sudah cukup bersih, meskipun standar (tapi menurut saya memang sesuai dengan harga dan kelasnya).

Oiya disini ownernya punya program perawatan gratis untuk dhuafa lansia, tentunya muslimah. Dan ini salah satu proyek sosial. Salut untuk manajemennya. Semoga lebih baik ke depannya.",4
,,5 bulan lalu,Santini Kirsan,-,5 ulasan,"Kamu bisa konsultasi dulu via WA yang ada trcantum ya. Baik banget dan di respon terus. Aku belum bisa kesana karna mukaku pas lagi Breakout jerawat meradang. Niat hati mau facial disini.. tpi setelah WA konsultasi dngn brbagai pertimbangan dan konsul dengan pihak omah mila, jadi aku nunggu mukaku baikan aja baru nanti perawatan kesana

Kmu bisa minta list hrga prwatan dan biasanya di kasih Info juga klo ada pketan promo bulanan atau yang sedang berjalanan. Semoga membantu 🥰",5
,,10 bulan lalu,Nadia Ainina Latifah,-,13 ulasan,"Salonnya bagus, pernah SPA disini, pijetannya enak,, cuman waktunya, pesennya 1 jam tapi seperti pelayanannya cuma sekitar 45 menitan,,,trs mbanya ramah, tpi kok agak sedikit lumayan gimana...",4
,,4 tahun lalu,Dani Yuarwi,-,11 ulasan,"Maa syaa Allah, pengalaman pertama berkunjung di Omah Mila sangat memuaskan. Sy mendapat sambutan hangat dan sgt bersahabat, baik dari pemilik maupun terapisnya. Pelayanan sangat baik, SDM nya sgt memperhatikan kualitas layanan. Suasana juga sgt nyaman layaknya dirumah sendiri. Semoga makin sukses utk Omah Mila 😅😄 …",5
,,3 tahun lalu,Ulfah Novitasari,Local Guide,181 ulasan,"salon ini terletak di dalam perumahan, khusus melayani customer perempuan.
Harga standar karena ditangani demgan profesional dan ada hair stylish nya.
jadi kalau kalian bercadar, salon ini bisa jadi pilihan untuk merawat rambut dan badan",5
,,3 tahun lalu,Namirah Ashshalihah,-,5 ulasan,Sangat nyaman dan aman untuk perempuan yg tertutup dan memperhatikan kenyamanan pelanggan .. pelayanan juga baik dan ramah.. sangat rekomended untuk yg lagi mencari salon muslimah dengan kwalitas tempat dan pelayanan yg baik.,5
,,4 tahun lalu,Laras Wulan,Local Guide,114 ulasan,"Pengalaman pertama berkunjung ke omah milla, sangat baik pelayanannya. Selain itu harga jg terjangkau. Walaupun tempatnya masuk ke kawasan perumahan, tp tdk mengurangi kualitas pelayanannya. Malahan suasananya tenang dan nyaman. Jd ini salon dan rumah spa yg bentuknya memang rumah, jd misal baru pertama kali berkunjung langsung masuk aja ke perumahan dan nanti ada plakatnya. Masuknya gak jauh dr gardu perum sekitar 100m.",5
,,3 tahun lalu,Siti Ardiyanti,-,4 ulasan,"Fix Pelayanan nya Excellent.. Karyawannya Ramah Banget, Sopan.. Suasananya Berkelas, Bersih, Rapi, Cantik Peralatan Lengkap Harga Terjangkau.. Spa di sini dapat minuman hangat dan cemilan.. Puas Bgt 😍 …",5
,,4 tahun lalu,Nana Wijay,Local Guide,99 ulasan,"Ini dia tempat strategis untuk merawat dan memanjakan diri...
Khusus muslimah,  jadi aman dari lawan jenis.... Banyak promo yang ditawarkan... Dan kadang-kadang kita ke sana sehat,  badan nyaman bisa sambil sedekah.... Hmmmmm... Menu favoritku pijit, lulur dan totok wajah....
Lain kali khusus ngerawat rambut ahhh...",5
,,10 bulan lalu,elsa salvina,Local Guide,6 ulasan,"Salon muslimah
Pelayanan bagus sekali
Next time bakal balik lagi",5
